geo3,geo2,geo1,geo0
AL011,AL01,AL0,AL
AL012,AL01,AL0,AL
AL013,AL01,AL0,AL
AL014,AL01,AL0,AL
AL015,AL01,AL0,AL
AL021,AL02,AL0,AL
AL022,AL02,AL0,AL
AL031,AL03,AL0,AL
AL032,AL03,AL0,AL
AL033,AL03,AL0,AL
AL034,AL03,AL0,AL
AL035,AL03,AL0,AL
AT111,AT11,AT1,AT
AT112,AT11,AT1,AT
AT113,AT11,AT1,AT
AT121,AT12,AT1,AT
AT122,AT12,AT1,AT
AT123,AT12,AT1,AT
AT124,AT12,AT1,AT
AT125,AT12,AT1,AT
AT126,AT12,AT1,AT
AT127,AT12,AT1,AT
AT130,AT13,AT1,AT
AT211,AT21,AT2,AT
AT212,AT21,AT2,AT
AT213,AT21,AT2,AT
AT221,AT22,AT2,AT
AT222,AT22,AT2,AT
AT223,AT22,AT2,AT
AT224,AT22,AT2,AT
AT225,AT22,AT2,AT
AT226,AT22,AT2,AT
AT311,AT31,AT3,AT
AT312,AT31,AT3,AT
AT313,AT31,AT3,AT
AT314,AT31,AT3,AT
AT315,AT31,AT3,AT
AT321,AT32,AT3,AT
AT322,AT32,AT3,AT
AT323,AT32,AT3,AT
AT331,AT33,AT3,AT
AT332,AT33,AT3,AT
AT333,AT33,AT3,AT
AT334,AT33,AT3,AT
AT335,AT33,AT3,AT
AT341,AT34,AT3,AT
AT342,AT34,AT3,AT
BE100,BE10,BE1,BE
BE211,BE21,BE2,BE
BE212,BE21,BE2,BE
BE213,BE21,BE2,BE
BE221,BE22,BE2,BE
BE222,BE22,BE2,BE
BE223,BE22,BE2,BE
BE231,BE23,BE2,BE
BE232,BE23,BE2,BE
BE233,BE23,BE2,BE
BE234,BE23,BE2,BE
BE235,BE23,BE2,BE
BE236,BE23,BE2,BE
BE241,BE24,BE2,BE
BE242,BE24,BE2,BE
BE251,BE25,BE2,BE
BE252,BE25,BE2,BE
BE253,BE25,BE2,BE
BE254,BE25,BE2,BE
BE255,BE25,BE2,BE
BE256,BE25,BE2,BE
BE257,BE25,BE2,BE
BE258,BE25,BE2,BE
BE310,BE31,BE3,BE
BE321,BE32,BE3,BE
BE322,BE32,BE3,BE
BE323,BE32,BE3,BE
BE324,BE32,BE3,BE
BE325,BE32,BE3,BE
BE326,BE32,BE3,BE
BE327,BE32,BE3,BE
BE331,BE33,BE3,BE
BE332,BE33,BE3,BE
BE334,BE33,BE3,BE
BE335,BE33,BE3,BE
BE336,BE33,BE3,BE
BE341,BE34,BE3,BE
BE342,BE34,BE3,BE
BE343,BE34,BE3,BE
BE344,BE34,BE3,BE
BE345,BE34,BE3,BE
BE351,BE35,BE3,BE
BE352,BE35,BE3,BE
BE353,BE35,BE3,BE
BG311,BG31,BG3,BG
BG312,BG31,BG3,BG
BG313,BG31,BG3,BG
BG314,BG31,BG3,BG
BG315,BG31,BG3,BG
BG321,BG32,BG3,BG
BG322,BG32,BG3,BG
BG323,BG32,BG3,BG
BG324,BG32,BG3,BG
BG325,BG32,BG3,BG
BG331,BG33,BG3,BG
BG332,BG33,BG3,BG
BG333,BG33,BG3,BG
BG334,BG33,BG3,BG
BG341,BG34,BG3,BG
BG342,BG34,BG3,BG
BG343,BG34,BG3,BG
BG344,BG34,BG3,BG
BG411,BG41,BG4,BG
BG412,BG41,BG4,BG
BG413,BG41,BG4,BG
BG414,BG41,BG4,BG
BG415,BG41,BG4,BG
BG421,BG42,BG4,BG
BG422,BG42,BG4,BG
BG423,BG42,BG4,BG
BG424,BG42,BG4,BG
BG425,BG42,BG4,BG
CH011,CH01,CH0,CH
CH012,CH01,CH0,CH
CH013,CH01,CH0,CH
CH021,CH02,CH0,CH
CH022,CH02,CH0,CH
CH023,CH02,CH0,CH
CH024,CH02,CH0,CH
CH025,CH02,CH0,CH
CH031,CH03,CH0,CH
CH032,CH03,CH0,CH
CH033,CH03,CH0,CH
CH040,CH04,CH0,CH
CH051,CH05,CH0,CH
CH052,CH05,CH0,CH
CH053,CH05,CH0,CH
CH054,CH05,CH0,CH
CH055,CH05,CH0,CH
CH056,CH05,CH0,CH
CH057,CH05,CH0,CH
CH061,CH06,CH0,CH
CH062,CH06,CH0,CH
CH063,CH06,CH0,CH
CH064,CH06,CH0,CH
CH065,CH06,CH0,CH
CH066,CH06,CH0,CH
CH070,CH07,CH0,CH
CY000,CY00,CY0,CY
CZ010,CZ01,CZ0,CZ
CZ020,CZ02,CZ0,CZ
CZ031,CZ03,CZ0,CZ
CZ032,CZ03,CZ0,CZ
CZ041,CZ04,CZ0,CZ
CZ042,CZ04,CZ0,CZ
CZ051,CZ05,CZ0,CZ
CZ052,CZ05,CZ0,CZ
CZ053,CZ05,CZ0,CZ
CZ063,CZ06,CZ0,CZ
CZ064,CZ06,CZ0,CZ
CZ071,CZ07,CZ0,CZ
CZ072,CZ07,CZ0,CZ
CZ080,CZ08,CZ0,CZ
DE111,DE11,DE1,DE
DE112,DE11,DE1,DE
DE113,DE11,DE1,DE
DE114,DE11,DE1,DE
